пол;город рождения;город учебы в школе;рост;год рождения;месяц рождения;есть братья/сестры;средний школьный балл(математика);школа 239;тип школы гимназия/общ-ная;оценка по математике (школа);участие в олимпиадах;олимпиады математика;победы в олимпиадах;дорога до вуза(время);общежитие;ряд в аудитории;доля пропусков;автоматы на экзаменах;друзья в ОК;друзья в ВК;друзья в FB;ОС телефона;использование мобильного интернета;есть спиннер;потребление пива;Y(оценка по математике в первом семестре)
1;C;M;27;22;8;0;-1;0;1;4;1;1;1;20;1;1-2;<0.1;редко;350;;;андроид;постоянно;0;0;5
1;A;A;23;22;3;1;4.6;0;1;5;1;1;0;20;0;ближе к концу;0.3;часто;80;;;андроид;постоянно;0;0.5/2 недели;4
1;AH;AH;21;21;11;0;5;0;1;5;1;1;1;25;0;неважно;0.05;часто;120;;;андроид;постоянно;0;0;5
0;U;U;13;22;6;1;5;0;1;5;1;1;0;5;1;рандом;0.333;никогда;150;;;iOs;постоянно;0;0;5
1;A;A;15;21;12;1;5;0;1;5;1;1;1;90;0;по-разному;0;часто;110;;;андроид;постоянно;0;0;4
1;Z;Z;38;23;7;1;5;0;1;5;1;1;1;60;1;2;0.5;редко;90;;;iOs;постоянно;0;0-4;3
1;A;A;25;15;8;1;4.7;0;0;5;1;0;0;120;0;5;0.17;часто;200;;;андроид;постоянно;0;0.25/мес;5
1;A;A;28;21;6;0;5;0;1;5;1;0;1;0;0;2;0.1;редко;0;0;0;другая;никогда;0;0;5
1;O;O;25;20;11;1;4.8;0;0;5;1;1;1;30;0;3;0.3;редко;128;;;iOs;постоянно;1;0;5
1;A;A;30;24;2;0;4.5;0;1;5;1;1;1;30;0;5;0.3;редко;130;;;iOs;иногда;0;0;5
1;AD;AD;24;22;8;1;4.1;0;1;5;1;1;1;25;1;1;0.1;часто;313;;;андроид;постоянно;1;0;5
0;V;V;8;19;3;0;4.3;0;1;4;0;0;0;40;0;3;0.1;часто;0;164;5;iOs;постоянно;0;0.33;5
1;G;G;28;22;11;0;4.9;0;0;5;1;1;1;30;1;1;0;часто;70;;;андроид;постоянно;0;0;5
1;X;X;27;22;3;1;4;0;1;5;1;1;0;10;1;3;0.8;редко;945;;;андроид;постоянно;0;1;4
1;T;T;23;21;6;1;4.8;0;1;5;1;0;1;10;1;предпоследний;0.333;редко;5;;;другая;иногда;0;0;4
0;AB;AB;14;22;11;1;5;0;1;5;1;1;1;90-120;0;1-3;0-0.15;никогда;350;;;iOs;постоянно;0;0;4
1;M;M;25;22;6;1;5;0;1;5;1;1;1;240;1;6;0.2;редко;87;;;андроид;иногда;0;0;4
1;H;H;15;24;4;1;4.8;0;1;5;1;0;0;5;0;3;0.073;часто;56;;;андроид;иногда;0;0.1;5
1;A;A;33;22;11;0;4.7;0;0;5;1;0;0;45;0;4;0.4;часто;0;70;40;iOs;постоянно;0;0;5
0;K;A;5;22;1;1;5;0;1;5;1;1;1;150;0;1;0;редко;333;;;андроид;постоянно;0;0;5
1;W;W;34;22;4;1;4.9;0;0;5;1;1;1;15;1;9;0.5;часто;12;;;андроид;постоянно;0;0;5
1;A;A;28;17;9;0;4,81;0;1;5;1;1;1;40;0;средний;0.2;редко;60;;;андроид;постоянно;0;0.25;5
0;A;A;8;23;4;1;3.8;1;1;4;1;1;1;2;0;последний;0.3;редко;144;;;андроид;постоянно;0;0;4
1;D;AH;25;23;5;1;5;0;0;5;1;1;1;15;1;3;-1;никогда;200;;;андроид;постоянно;0;0;3
1;A;A;24;25;2;1;5;0;1;5;1;1;1;7;0;как повезет;0.2-0.3;редко;180;;;андроид;иногда;0;0.5-0.7;4
1;A;A;35;22;3;0;4,85;0;1;5;1;1;1;60 - 120;0;3-5;0.75;редко;0;265;73;андроид;постоянно;0;2-3;5
0;J;J;1;19;10;1;5;0;1;5;1;0;1;40;0;2;0.08;редко;400;;;андроид;постоянно;0;0;4
0;Q;Q;17;15;12;1;5;0;1;5;1;1;1;-1;0;как можно ближе на свободном;<0.01;часто;250;;;iOs;постоянно;0;0;4
0;P;P;10;24;7;1;3;0;0;5;1;1;1;60;1;2;0.15-0.2;редко;120;;;андроид;постоянно;0;0.2;5
1;F;AJ;32;20;1;1;4.4;0;0;5;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;A;A;5;22;3;1;4.8;0;0;4;1;0;1;50;0;1-2;0.333;часто;141;141;0;iOs;постоянно;0;0;5
0;A;A;13;23;4;1;3.8;1;1;3.5;1;1;1;90;0;2;0.5;редко;0;500;30;андроид;постоянно;0;0;4
1;L;L;31;22;6;1;4,95;0;0;5;1;1;0;10 - 120;1;2-4;0;часто;100;;;андроид;постоянно;0;0;4
0;AC;AC;18;23;1;0;5;0;1;5;1;1;0;50-120;0;1-3;0.3;часто;150;;;iOs;постоянно;0;1;4.5
0;I;I;5;23;10;1;4.6;0;1;5;0;0;0;5;1;3-6;0;часто;82;;;андроид;постоянно;0;0;4
1;A;A;39;1;6;1;4.2;0;0;4;1;1;1;-1;0;3;-1;редко;150;;;другая;иногда;0;0;4
