titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,mainDirector,numVotes,mainDirectorBirthYear,mainDirectorDeathYear,MainDirectorPrimaryProfession,mainWriter,mainWriterBirthYear,mainWriterDeathYear,MainWriterPrimaryProfession,titleLength,genderVoters,worldPromotion,Downloads,prefVotersCountry,firstShownCountry,Cash,rating
tvEpisode,Trust,Trust,0,2013,\N,26,"Adventure,Comedy,Drama",Grant Brown,29,\N,\N,"director,assistant_director,miscellaneous",Anthony Morris,\N,\N,"writer,miscellaneous",5,24.0,1,9589,GP,KM,59181,6.45
movie,The Commuter,The Commuter,0,2018,\N,105,"Action,Crime,Drama",Jaume Collet-Serra,62342,1974,\N,"director,producer",Byron Willinger,\N,\N,writer,12,58533.0,0,1791,CG,LU,32890,6.55
movie,Abandoned,Abandoned,0,2015,\N,86,"Adventure,Drama,Thriller",John Laing,1506,\N,\N,"producer,director,writer",Stephanie Johnson,\N,\N,writer,9,999.0,1,1954,BV,AD,3213,5.54
movie,Dornröschen,Dornröschen,0,1917,\N,64,"Family,Fantasy",Paul Leni,15,1885,1929,"art_director,director,production_designer",Rudolf Presber,1868,1935,writer,11,8.0,1,5144,AU,UG,48811,6.05
video,Revolt,Revolt,0,1986,\N,72,"Action,Crime,Drama",Jamshid Sheibani,33,1925,2009,"producer,director,writer",Shield,\N,\N,writer,6,0.0,1,9430,VE,BL,32974,5.12
tvEpisode,Leaving,Leaving,0,2014,\N,14,Comedy,Ryan Prince,11,1994,\N,"producer,writer,director",Lucas Parrott,\N,\N,"producer,writer,actor",7,0.0,0,8716,NP,BR,11140,7.1
movie,The Sea Is Watching,Umi wa miteita,0,2002,\N,119,"Drama,Romance",Kei Kumai,1423,1929,2007,"writer,director,assistant_director",Kei Kumai,1929,2007,"writer,director,assistant_director",14,758.0,0,4875,GS,IR,21429,6.95
movie,The Grudge 2,The Grudge 2,0,2006,\N,102,"Horror,Thriller",Takashi Shimizu,43124,1972,\N,"director,writer,producer",Stephen Susco,\N,\N,"writer,producer,director",12,1519.0,1,4827,ES,BR,35596,6.06
tvEpisode,Wrapped,Wrapped,0,2007,\N,43,"Drama,Fantasy,Horror",Holly Dale,69,1953,\N,"director,producer,editor",Tanya Huff,\N,\N,"writer,miscellaneous",7,53.0,0,6530,TW,MD,59107,6.96
tvEpisode,No Place to Hide,No Place to Hide,0,1975,\N,50,"Action,Crime,Drama",Leonard J. Horn,16,1926,1975,"director,producer,actor",Robert L. Collins,1930,2011,"writer,director,miscellaneous",16,14.0,0,5493,PE,GH,31351,4.79
movie,Ice Castles,Ice Castles,0,1978,\N,108,"Drama,Romance,Sport",Donald Wrye,2713,1934,2015,"director,producer,writer",Donald Wrye,1934,2015,"director,producer,writer",11,1606.0,1,9425,GS,UG,38263,7.15
tvEpisode,The Other Woman,The Other Woman,0,1961,\N,30,"Comedy,Family,Fantasy",Arthur Lubin,19,1898,1995,"director,producer,actor",Lou Derman,1914,1976,"writer,miscellaneous,producer",15,16.0,0,2688,BD,US,48859,6.69
short,The Colony,The Colony,0,2007,\N,14,"Short,Thriller",Steven List,18,\N,\N,"director,writer,miscellaneous",Steven List,\N,\N,"director,writer,miscellaneous",10,10.0,1,8748,US,LV,21972,5.47
tvMovie,Ultima pallottola,Ultima pallottola,0,2003,\N,190,"Action,Crime,Drama",Michele Soavi,49,1957,\N,"director,actor,writer",Daniele Cesarano,1962,\N,"writer,producer,director",17,41.0,1,-1,SH,HR,39777,6.59
video,Bratz: Babyz the Movie,Bratz: Babyz the Movie,0,2006,\N,66,"Action,Adventure,Animation",Davis Doi,231,\N,\N,"animation_department,art_department,producer",John Doolittle,\N,\N,writer,22,217.0,1,8544,PM,FO,8032,3.19
tvEpisode,Primal Fear,Primal Fear,0,2015,\N,42,"Drama,Horror,Romance",David McNally,367,\N,\N,"writer,producer,director",Sherri Cooper-Landsman,\N,\N,"producer,writer,miscellaneous",11,233.0,0,2346,ML,MW,32252,7.82
tvMovie,The Triangle,The Triangle,0,2001,\N,92,"Horror,Thriller",Lewis Teague,1353,1938,\N,"director,editor,assistant_director",Bing Howenstein,\N,\N,"producer,writer",12,676.0,0,8148,TV,TO,43344,6.89
movie,Signs,Signs,0,2002,\N,106,"Drama,Mystery,Sci-Fi",M. Night Shyamalan,303812,1970,\N,"producer,writer,director",M. Night Shyamalan,1970,\N,"producer,writer,director",5,161488.0,0,4594,BD,TG,9618,6.99
movie,Kickboxer: Vengeance,Kickboxer: Vengeance,0,2016,\N,90,"Action,Crime,Drama",John Stockwell,8895,1961,\N,"actor,director,writer",Dimitri Logothetis,\N,\N,"producer,director,writer",20,1962.0,0,1762,KM,NE,29329,4.7
movie,Max,Max,0,2000,\N,85,Crime,Trine Piil Christensen,157,1966,\N,"director,producer,writer",Trine Piil Christensen,1966,\N,"director,producer,writer",3,1.0,0,9901,CG,RO,2791,6.74
movie,Imagine That,Imagine That,0,2009,\N,107,"Comedy,Drama,Family",Karey Kirkpatrick,11940,1964,\N,"writer,soundtrack,producer",Ed Solomon,1960,\N,"writer,producer,actor",12,3205.0,0,115,BF,SV,10345,6.52
movie,Breaking Horizons,Am Himmel der Tag,0,2012,\N,90,Drama,Pola Beck,623,1982,\N,"director,writer,assistant_director",Burkhardt Wunderlich,1981,\N,"writer,director,producer",17,283.0,1,9067,AD,CL,12444,7.5
movie,Westerplatte,Westerplatte,0,1967,\N,96,"Drama,War",Stanislaw Rózewicz,211,1924,2008,"director,writer,assistant_director",Jan Józef Szczepanski,1919,2003,writer,12,9.0,0,7061,MW,LR,15459,6.7
movie,Taras Bulba,Taras Bulba,0,1924,\N,\N,Adventure,Joseph N. Ermolieff,7,1889,1962,"producer,writer,production_manager",Nikolay Gogol,1809,1852,writer,11,4.0,1,-1,BB,MU,2585,5.66
tvSeries,Click,Click,0,1997,\N,\N,"Comedy,Fantasy",Scott Kennedy,97,\N,\N,director,Philip Halprin,\N,\N,"writer,assistant_director,producer",5,38.0,1,9325,SJ,DK,26924,7.07
tvEpisode,Justice,Justice,0,1987,\N,60,"Action,Adventure,Mystery",James L. Conway,1941,1950,\N,"producer,director,writer",Gene Roddenberry,1921,1991,"writer,producer,miscellaneous",7,1286.0,1,3075,GM,NE,47672,7.21
short,Stille Nacht: Dramolet,Stille Nacht: Dramolet,0,1988,\N,1,"Animation,Short",Stephen Quay,635,1947,\N,"director,animation_department,cinematographer",Stephen Quay,1947,\N,"director,animation_department,cinematographer",22,588.0,1,2733,MO,PM,23489,6.49
tvSeries,James May's Man Lab,James May's Man Lab,0,2010,\N,60,Documentary,Tom Whitter,780,\N,\N,"director,producer,writer",Stuart Cabb,\N,\N,"producer,writer,director",19,583.0,0,1147,AI,KZ,19980,7.79
tvEpisode,Big Brother,Big Brother,0,1991,\N,22,"Adventure,Family,Romance",Michael Levine,19,\N,\N,"director,producer,writer",Johnston McCulley,1883,1958,writer,11,14.0,1,1006,PH,TR,1668,6.7
tvEpisode,Public Enemy,Public Enemy,0,2010,\N,43,"Crime,Drama,Mystery",Nelson McCormick,1049,\N,\N,"director,producer,writer",Jeff Davis,1975,\N,"writer,producer,director",12,87.0,0,8554,ZA,BH,49353,7.41
short,Last Train,Last Train,0,2003,\N,5,"Animation,Short",David Evans,12,\N,\N,"producer,director,writer",David Evans,\N,\N,"producer,director,writer",10,9.0,1,-1,VE,TL,58439,5.81
movie,Like.Share.Follow.,Like.Share.Follow.,0,2017,\N,97,"Horror,Romance,Thriller",Glenn Gers,1013,\N,\N,"miscellaneous,writer,director",Glenn Gers,\N,\N,"miscellaneous,writer,director",18,1007.0,1,5936,BS,GP,5576,5.51
movie,Souls for Sale,Souls for Sale,0,1923,\N,90,"Comedy,Drama,Romance",Rupert Hughes,670,1872,1956,"writer,director,actor",Rupert Hughes,1872,1956,"writer,director,actor",14,367.0,1,-1,TJ,TW,57296,6.13
